,Compound,Date,Negative,Neutral,Positive,User,text
0,0.5106,Fri Jan 05 16:28:47 +0000 2018,0.858,0.0,0.142,@LFC,"RT @LFC: An impressive return to action for Lallana, and @JHenderson is predicting more of the same in 2018. ?

? https://t.co/uJo2aEUflu h…"
1,0.0,Fri Jan 05 16:05:33 +0000 2018,1.0,0.0,0.0,@LFC,"RT @LFC: It's derby day! ??

? Turn that sound right up ? https://t.co/ax6l8GSOct"
2,0.4019,Fri Jan 05 15:00:01 +0000 2018,0.847,0.0,0.153,@LFC,"What are your predictions for this evening's game? 

Check out all of @BetVictor's special offers:… https://t.co/O94unz8XXw"
3,0.0,Fri Jan 05 14:35:11 +0000 2018,1.0,0.0,0.0,@LFC,"RT @NBFootball: ? The 230th Merseyside Derby beckons. What are your #LFC matchday score predictions?
#PureLFC #NBFootball https://t.co/h54N…"
4,0.4215,Fri Jan 05 14:28:16 +0000 2018,0.676,0.099,0.225,@LFC,"RT @LFC: “Derby matches are wonderful, intense occasions...""

Jürgen Klopp - Anfield needs no team talk tonight: https://t.co/CsXmV00yvB ht…"
5,0.0,Fri Jan 05 13:00:13 +0000 2018,1.0,0.0,0.0,@LFC,#LFCU23s captain @coreywhelan1997 has joined @YTFC on loan for the remainder of the 2017-18 season:… https://t.co/7JtvfRnas9
6,0.5423,Fri Jan 05 11:00:52 +0000 2018,0.844,0.0,0.156,@LFC,Mohamed Salah and Roberto Firmino have both been nominated for the @premierleague Player of the Month award for Dec… https://t.co/wG9eVFSdN6
7,0.1027,Fri Jan 05 10:44:37 +0000 2018,0.802,0.09,0.108,@LFC,"RT @Red_Neighbours: If you’re at #Anfield for the #MerseysideDerby tonight, please don’t forget your Foodbank donations. @SFoodbanks will b…"
8,0.5423,Fri Jan 05 10:31:06 +0000 2018,0.851,0.0,0.149,@LFC,"Jürgen Klopp has been nominated for the @premierleague Manager of the Month award for December ??

?? Cast your vot… https://t.co/8GuYTPvyfw"
9,0.4215,Fri Jan 05 09:01:03 +0000 2018,0.625,0.115,0.26,@LFC,"“Derby matches are wonderful, intense occasions...""

Jürgen Klopp - Anfield needs no team talk tonight:… https://t.co/LBhEqEwUgH"
10,0.5106,Fri Jan 05 08:02:03 +0000 2018,0.845,0.0,0.155,@LFC,"An impressive return to action for Lallana, and @JHenderson is predicting more of the same in 2018. ?

?… https://t.co/cOKhdv2QmM"
11,0.0,Fri Jan 05 07:30:05 +0000 2018,1.0,0.0,0.0,@LFC,"Matchday! ?

? @Everton
? @EmiratesFACup 
? 19:55 GMT
?? Anfield
?? @Garda_Chairul https://t.co/4Xjtdb8eIg"
12,0.0,Fri Jan 05 07:00:05 +0000 2018,1.0,0.0,0.0,@LFC,"It's derby day! ??

? Turn that sound right up ? https://t.co/ax6l8GSOct"
13,0.8591,Thu Jan 04 22:49:35 +0000 2018,0.667,0.0,0.333,@LFC,"RT @LFC: To mark the signing of our new No.4, we’re giving one fan the chance to win a 2017/18 home shirt signed by @VirgilvDijk himself...…"
14,-0.1761,Thu Jan 04 22:48:55 +0000 2018,0.922,0.078,0.0,@LFC,"RT @LFC: ""It’s very hard, he marks very tightly and I just think he's a really, really high-quality player."" 

Firmino on facing @VirgilvDi…"
15,0.0,Thu Jan 04 21:59:20 +0000 2018,1.0,0.0,0.0,@LFC,@22mosalah It's #LFC first and second as Sadio Mane is named CAF African Player of the Year runner-up for 2017. ? https://t.co/EN0expFdJz
16,0.636,Thu Jan 04 21:48:57 +0000 2018,0.782,0.0,0.218,@LFC,"? Congratulations, Mo! ?

@22mosalah has been named CAF African Player of the Year for 2017. ?? https://t.co/j1i0DOUuH2"
17,0.0,Thu Jan 04 21:35:02 +0000 2018,1.0,0.0,0.0,@LFC,"RT @LFC: Sublime from every angle. ?

Mane's ?vs Burnley... https://t.co/3yPtqW5L44"
18,0.7579,Thu Jan 04 20:49:00 +0000 2018,0.552,0.0,0.448,@LFC,"?

Klopp on desire to win silverware for #LFC: https://t.co/YQOcTiifW0 https://t.co/Dl3FsfUUl8"
19,0.8176,Thu Jan 04 20:25:58 +0000 2018,0.655,0.0,0.345,@LFC,"""Playing at Anfield must be a big boost for us as well and I hope we can use that"" ? 

? Klopp's pre-Everton FA Cup… https://t.co/scFVLnISbw"
20,0.2006,Thu Jan 04 20:20:06 +0000 2018,0.909,0.0,0.091,@LFC,"RT @LFC: ? ? Behind the scenes with our new No.4...

? More exclusive footage of @VirgilvDijk on @LFCTV GO: https://t.co/RA201a2Vhx https:/…"
