,Compound,Date,Negative,Neutral,Positive,User,text
0,0.5719,Fri Jan 05 16:31:30 +0000 2018,0.802,0.0,0.198,@CNN,How the supermoon caused the perfect celestial storm and record flooding in New England https://t.co/9pMocwgO3Y https://t.co/9VVYfyt0C9
1,-0.1531,Fri Jan 05 16:18:27 +0000 2018,0.897,0.103,0.0,@CNN,It's so cold in Florida that frozen iguanas are falling out of trees https://t.co/32U9Uz586p https://t.co/4S7ru0OuAf
2,-0.34,Fri Jan 05 16:03:39 +0000 2018,0.882,0.118,0.0,@CNN,"10 big questions about Trumpworld raised by 'Fire and Fury,' Michael Wolff's explosive account of Trump's first yea… https://t.co/hX1Si3jBo2"
3,0.765,Fri Jan 05 15:56:26 +0000 2018,0.68,0.0,0.32,@CNN,Trump's first-year jobs record was strong. Just not as strong as Obama's last year. https://t.co/u4Htz8d0Nq https://t.co/FC11KgiDYR
4,0.5267,Fri Jan 05 15:38:28 +0000 2018,0.714,0.079,0.207,@CNN,"JetBlue says it's handing out $21 million worth of bonuses to employees because of the corporate tax cut -- all 21,… https://t.co/6vNL9Ih1HC"
5,-0.1531,Fri Jan 05 15:22:09 +0000 2018,0.904,0.096,0.0,@CNN,Researchers have revealed two vulnerabilities in computer processors affecting billions of devices around the world… https://t.co/Mrm5lXXCwz
6,-0.1531,Fri Jan 05 15:06:20 +0000 2018,0.882,0.118,0.0,@CNN,Apple says all Macs and iOS devices affected by chip flaws https://t.co/nyPQOoB7eJ https://t.co/YoXxH1DBk4
7,-0.7783,Fri Jan 05 14:51:17 +0000 2018,0.688,0.312,0.0,@CNN,Book fury hits Trump where it hurts most -- his image | Analysis by Stephen Collinson https://t.co/tFkSAizLUk https://t.co/zs9rHmtoB8
8,0.0,Fri Jan 05 14:37:10 +0000 2018,1.0,0.0,0.0,@CNN,"As the attorney general plans to roll back hands-off marijuana policies from the Obama era, you may be wondering: “… https://t.co/nW9LkMZNPA"
9,-0.2263,Fri Jan 05 14:29:25 +0000 2018,0.769,0.134,0.097,@CNN,The US is suspending security assistance to Pakistan over what it says is a failure by the country to adequately cr… https://t.co/FZqagoO0bZ
10,-0.5267,Fri Jan 05 14:17:59 +0000 2018,0.841,0.159,0.0,@CNN,"Cars were trapped in frozen floodwaters outside Boston on Thursday as frigid temperatures, ice and wind battered th… https://t.co/wkRR5Khtj0"
11,-0.4404,Fri Jan 05 14:06:52 +0000 2018,0.854,0.146,0.0,@CNN,The US economy added more than 2 million jobs in 2017. The unemployment rate stayed at 4.1%. https://t.co/4S9yAw3HZX https://t.co/r6tYIDfYVb
12,0.765,Fri Jan 05 13:52:30 +0000 2018,0.68,0.0,0.32,@CNN,Michael Wolff says he appreciates all the free promotion for his book from President Trump https://t.co/lWGdm79npD
13,-0.1531,Fri Jan 05 13:39:34 +0000 2018,0.775,0.123,0.102,@CNN,The good news: the major storm that gripped the East Coast of the US is moving away. The bad news: the Northeast is… https://t.co/rFcGcpOx8L
14,-0.5994,Fri Jan 05 13:26:21 +0000 2018,0.83,0.17,0.0,@CNN,Toshiba's disastrous foray into the US nuclear business is coming to an end -- the Japanese conglomerate is selling… https://t.co/6t2KTE9gpQ
15,0.0,Fri Jan 05 13:11:41 +0000 2018,1.0,0.0,0.0,@CNN,Mark Zuckerberg's goal for 2018 is to fix Facebook https://t.co/vB9mo1T5HJ https://t.co/TEXQ16M3oK
16,-0.6249,Fri Jan 05 12:58:21 +0000 2018,0.687,0.313,0.0,@CNN,Caste violence erupts in India over 200-year-old faultline https://t.co/VwlW6PNEpC https://t.co/ZK2Z81ju1Q
17,-0.1531,Fri Jan 05 12:45:49 +0000 2018,0.882,0.118,0.0,@CNN,Apple says all Macs and iOS devices affected by chip flaws https://t.co/F4GBhaMhUC https://t.co/drCnPAp3GL
18,0.4588,Fri Jan 05 12:33:34 +0000 2018,0.857,0.0,0.143,@CNN,Serena Williams won't be defending her Australian Open title after the American withdrew from the first grand slam… https://t.co/tEPJM1n1y9
19,0.0,Fri Jan 05 12:27:16 +0000 2018,1.0,0.0,0.0,@CNN,"RT @CNNPolitics: President Trump insisted on a false story about the 2016 Trump Tower meeting, a new book alleges https://t.co/B7rX2VwNi6 h…"
20,-0.7783,Fri Jan 05 12:21:02 +0000 2018,0.688,0.312,0.0,@CNN,Book fury hits Trump where it hurts most -- his image | Analysis by Stephen Collinson https://t.co/9hdey99Rns https://t.co/fcXnBsaHG8
21,0.2732,Fri Jan 05 11:50:35 +0000 2018,0.896,0.0,0.104,@CNN,North Korea has accepted South Korea's proposal for official talks. The person-to-person talks will be held on Janu… https://t.co/adEIDdGFFQ
22,0.2732,Fri Jan 05 11:39:05 +0000 2018,0.896,0.0,0.104,@CNN,North Korea has accepted South Korea's proposal for official talks. The person-to-person talks will be held on Janu… https://t.co/9uKy1UCJHP
23,-0.1531,Fri Jan 05 10:51:05 +0000 2018,0.775,0.123,0.102,@CNN,The good news: the major storm that gripped the East Coast of the US is moving away. The bad news: the Northeast is… https://t.co/5zdTbjZArf
24,-0.2263,Fri Jan 05 10:13:36 +0000 2018,0.769,0.134,0.097,@CNN,The US is suspending security assistance to Pakistan over what it says is a failure by the country to adequately cr… https://t.co/vDazvNPtEl
25,-0.1531,Fri Jan 05 09:45:37 +0000 2018,0.882,0.118,0.0,@CNN,Apple says all Macs and iOS devices affected by chip flaws https://t.co/mzcrfaQRs6 https://t.co/q2mFCTfGkP
26,-0.7783,Fri Jan 05 09:17:04 +0000 2018,0.688,0.312,0.0,@CNN,Book fury hits Trump where it hurts most -- his image | Analysis by Stephen Collinson https://t.co/jvy6hcEwgl https://t.co/Jd0GPfzamr
27,0.0,Fri Jan 05 09:08:07 +0000 2018,1.0,0.0,0.0,@CNN,"World's longest glass bridge opens in Hebei, China https://t.co/x2LXU1WTsX (via @CNNTravel) https://t.co/YDQBpZ4jxc"
28,0.0,Fri Jan 05 08:59:08 +0000 2018,1.0,0.0,0.0,@CNN,Mark Zuckerberg's goal for 2018 is to fix Facebook https://t.co/yUiNF4XUz9 https://t.co/6iLFyTHowi
29,0.4588,Fri Jan 05 08:49:32 +0000 2018,0.857,0.0,0.143,@CNN,Serena Williams won't be defending her Australian Open title after the American withdrew from the first grand slam… https://t.co/CaVURk0eXy
30,-0.6249,Fri Jan 05 08:39:25 +0000 2018,0.687,0.313,0.0,@CNN,Caste violence erupts in India over 200-year-old faultline https://t.co/i8v1VWyplO https://t.co/9vC2AWAEID
